"Grouping Variable/N";AAR(0);AAR(1);AAR(2)
CurrentReport;-0.0096;0.0001;-0.0029
"N(CurrentReport, AAR(i))";167;167;167
"Pos:Neg(CurrentReport, AAR(i))";72:95;71:96;80:87
"Patell Z";-3.1911;0.4554;-0.3858
"Generalized Sign Z";-1.1466;-1.3016;0.093
"Csect T";-1.8184;0.0188;-0.7911
"StdCSect Z";-1.551;0.1774;-0.2997
"Rank Z";-1.7135;-1.6394;-0.244
"Generalized Rank T";-1.1083;-0.3872;-0.2227
"Adjusted Patell Z";-3.1924;0.4556;-0.3859
"AdjustedÂ StdCSect Z";-1.5517;0.1775;-0.2998
"Generalized Rank Z";-1.1166;-0.3899;-0.2238
"Skewness Corrected T";-1.8981;0.031;-0.8288
